row_index,DUNS Number,Company Name
0,639677726,"Zyf Lopsking Material Technology Co., Ltd. No.3 Branch"
1,547756179,"Beijing Kaishi Lide Commerce And Trade Co., Ltd."
2,728834216,"Keshan Shengren Potato Industry Processing Co., Ltd."
3,728791839,"Zuoquan County Yuanfeng Agriculture Technology Development Co., Ltd."
4,728889244,"Zuoquan County Tianxin Real Estate Development Co., Ltd."
5,547827642,Zuoquan County People's Hospital
6,728864458,"Zuoquan County Huixiang Meihua Co., Ltd."
7,547765600,"Shiliuyuan Branch of Beijing Zuolin Youshe Catering Co., Ltd."
8,639561763,"Zhijin County Zhongba Coal Supply Co., Ltd."
9,639511811,"Zunyi Yurui Construction Engineering Co., Ltd. Xinpu New District Branch"
10,547784463,"Huichuan Branch of Zunyi Yongxin Metalware Coating Co., Ltd."
11,547783566,"Zunyi Yongheng Real Estate Development Co., Ltd."
12,728770404,Zunyi Yangshi Pharmacy
13,728894240,Zunyi Xinsheng Hearing Aid Fitting Center
14,728878402,"Zunyi Xinhua Bookstore Co., Ltd. Suiyang County Branch"
15,728750681,"Zunyi Xingwangda Car Transportation Co., Ltd. Xingwangda Repair Shop"
16,547784055,"Zunyi Xingwangda Car Transport Co.,Ltd."
17,728806967,Zunyi Xijiao Supply & Marketing Cooperative Meitan Erwa Pesticide Business Depar tment
18,639626703,"Zunyi Xigetongguofan Catering Service Co., Ltd. Honghuagang District Branch"
19,728817754,Tongzi County Longfengyuan Planting & Breeding Farmer Specialty Cooperative
20,728759756,"Zheng'an County Chenxi Old Motor Vehicle Exchange Market Co., Ltd."
21,728865683,Zunyi Transportation Handling Company Taxi Branch
22,728903644,"Zunyi Tongzi County Junfeng Car Sales Co., Ltd. Meitan Branch"
23,639570073,"Zunyi Tengxing Power Co., Ltd. Cigarettes & Wine Retail Department"
24,639626606,"Zunyi Software Park Small & Medium Enterprises Service Center Co., Ltd."
25,728766815,"Zunyi Shiqiang Car Lease Co., Ltd. No.1 Branch"
26,728787772,"Zunyi Sanyuan Real Estate Development Co., Ltd. Zunyi County Branch"
27,638031169,"Xuyaolong Construction Engineering (Guizhou) Co., Ltd."
28,638027549,"Xutuosheng Construction Engineering (Guizhou) Co., Ltd."
29,728876428,"Zunyi Rongtai Second-hand Car Exchange Market Co., Ltd. Bozhou District No.1 Bra nch"
30,638048555,"Zunyi Qinze Nuoze Network Technology Co., Ltd."
31,728870738,"Zunyi Qianyu Sports Cultural Communication Co., Ltd."
32,639511847,"Guizhou Qianqian Yiren Business Management Consulting Co., Ltd."
33,728794351,"Zunyi Qiangtong Express Courier Co., Ltd. Fenggang Branch"
34,638081595,"Tongzi County Puhua New Energy Technology Co., Ltd."
35,728806255,"Zunyi Nuobiya Digital Technology Co., Ltd."
36,728850051,"Zunyi Xingjun Car Leasing Services Co., Ltd."
37,728807406,"Zunyi Malan Baxinwu Motor Vehicle Detection Co., Ltd."
38,728904344,"Zunyi Mingwei Materials Recycling Co., Ltd. No.5 Retail Department"
39,547783821,"Zunyi Used Motor Vehicles Exchange Market Co., Ltd."
40,547941687,"Zunyi Liaoyuanhetang Medicine Co., Ltd."
41,639639563,"Zunyi Lianxing New Energy Technology Co., Ltd."
42,639580966,"Zunyi Laocunzhang Foodstuff Co., Ltd. Meitan Branch"
43,728869787,"Zunyi Kesi Hotel Management Co., Ltd."
44,728772037,"Zunyi Jishunda Traffic & Transport (Group) Co., Ltd. Shiziqiao Terminal"
45,728890714,"Zunyi Jiruitong Car Sales Co., Ltd."
46,728894728,"Zunyi Jinzhilu International Travel Agency Co., Ltd. Bi Yunlu Service Branch"
47,547943215,"Guiyang Gaoxinshijifangdichankaifa Co., Ltd."
48,728795826,"Zunyi Jianzhongwei Architecture Labor Service Co., Ltd."
49,728807461,"Zunyi International Trade Auction Co., Ltd. Yuqing Office"
50,728800435,"Guizhou Wushang Network Technology Co., Ltd."
51,728892768,"Zunyi Huaning Property Management Co., Ltd. Huichuan Branch"
52,728769169,Zunyi Honghuagang District Baohuan Scrap Materials Recycling Center Beijiao Purc hase Stat
53,728766629,"Zunyi Hongchuang Culture Tourism Development Co., Ltd."
54,728870821,"Zunyi Hongchuang Hotel Management Co., Ltd."
55,728813682,"Zunyi Hengrun Metal Recycling Co., Ltd. No.6 Retail Department"
56,639578916,"Zunyi Garden Trading Co., Ltd. Tongzi County Shaping Petrol Station"
57,728835365,"Zunyi Dayuan Express Courier Co., Ltd. Hezhonglu Sales Department"
58,728823714,"Zunyi County Longkeng Car Comprehensive Service Co., Ltd. Car Repair Shop"
59,728793801,"Zunyi County Jixiang Car Lease Co., Ltd. Leli Branch"
60,728793930,"Zunyi Chuanglue Commerce and Trade Co., Ltd."
61,728855074,"Zunyi Chishui Hegu Luyoudujia District Operation Management Co., Ltd. Maotai Sta tion"
62,728795515,"Zunyi Changzhuo Trading Co., Ltd."
63,638124480,"Zunyi Changzhi Electric Co., Ltd."
64,547783919,"Zunyi Changxing Power Technology Equipment Co., Ltd."
65,728841605,Zunyi Bozhou District Yikang Jiren Pharmacy
66,728863659,Zunyi Bozhou District Star Pharmacy Nanbai No.3 Branch
67,728767909,Zunyi Bozhou District Kangbeijia Pharmacy
68,639587379,"Shanghai Jieting Industry Co., Ltd."
69,728875713,"Zunhua Yangguang Door Supply Co., Ltd. Tianjin Branch"
70,638021199,"Zunhua Weinong Supply & Marketing Commerce And Trade Co., Ltd. Fujia Cheng Branch"
71,638012692,"Zunhua Weinong Supply & Marketing Commerce And Trade Co., Ltd. Guogezhuang Branch"
72,638005214,"Zunhua Weinong Supply & Marketing Commerce And Trade Co., Ltd. Nanxin Cheng Branch"
73,638058076,"Anmeng Trading (Zunhua) Co., Ltd."
74,639560396,"Hebei Laiyan Business Management Co., Ltd."
75,639592011,"Zunhua Kunxin Technology Co., Ltd."
76,638032790,"Zunhua Duyu Technology Co., Ltd."
77,547803556,Zunhua Dongjiuzhai Town Dazhai Middle School
78,638125280,"Tangshan Shanru Landscaping Engineering Co., Ltd."
79,547875505,"Zung Fu Motors (China) Co., Ltd."
80,547880943,"Chengdu Zungfu Vehicle Sales and Service Co., Ltd."
81,547774130,"Zulong Culture And Art Exchange Co., Ltd."
82,639560305,"Beijing Zhongyunqi Construction Co., Ltd."
83,639598642,"Zhongtong Ruitai Yuncang Technology (Guangdong) Co., Ltd."
84,547841689,"Zhongxing Telecommunication Co., Ltd. Jiangxi Branch"
85,638017733,"Zouping Jinyu Information Technology Co., Ltd."
86,547789402,"Zouping Jincheng Engineering Co., Ltd."
87,547789686,"Zouping County Tian'an Real Estate Development Co., Ltd."
88,638026495,"Zoucheng Fushou Kanglaonian Apartment Co., Ltd. Internal Medicine Clinic"
89,547814454,"Changsha Zhonglian Heavy Industry Technology Development Co., Ltd. Shijiazhuang Office"
90,547776287,Zongyang County Supply and Marketing Building
91,639541376,"Zongtian Architecture Group Co., Ltd. Xingwen Branch"
92,639644214,"Baifu Duoge Consultancy Services (Shenzhen) Co., Ltd."
93,547854759,"Wuhan Tianjie Restaurant Management Co., Ltd."
94,547752741,Huainan Power Plant Repair Engineering Company Limited
95,639599858,"Zhejiang Zhongyi Sewing Machine Co., Ltd."
96,728815693,"Zijin Property Insurance Co., Ltd. Inner Mongolia Branch Tongliao Naiman Subsidi ary"
97,728840429,"Zijin Property Insurance Co., Ltd. Inner Mongolia Branch Baotou Tumd Subsidiary"
98,728854032,"Zijin Property Insurance Co., Ltd. Tuquan Subsidiary"
99,639617426,"Zkh Industrial Supply Co., Ltd. Nanning Branch"
100,638108699,"Hangzhou Juneng Qichuang Business Management Consulting Co., Ltd."
101,639576306,"Zizhong County Runzi Property Management Co., Ltd."
102,639552760,"Sichuan Ziyoudao Business Management Co., Ltd."
103,638071458,"Ziyou Liangji (Shanghai) Intelligence Technology Co., Ltd."
104,638021077,"Ziyang Xinde Maya Real Estate Broker Co., Ltd. Ziyang Tuojiang Garden Branch"
105,638006019,"Ziyang Xinde Maya Real Estate Broker Co., Ltd. Ziyang Banshan Fengqingerqi Branch"
106,639539148,"Ziyang Yunzhu Technology Co., Ltd."
107,638157731,"Ziyang Honglida Real Estate Development Co., Ltd. Lezhi Branch"
108,728777067,"Ziyang County Tianxi Tea Supply Co., Ltd."
109,728825546,Ziyang County Jieling Town Junior High School Meal Center
110,728888072,"Tianjin Guizuo Intelligence Science & Technology Development Co., Ltd."
111,639598362,"Guangzhou Xiangsheng Culture Investment Co., Ltd."
112,547750145,"ZiShuXunTong Technology Development Co., Ltd."
113,639531527,Ziran Zhisheng (Chongqing) Medical Instruments Business Department Wushandian
114,638133698,"Shaanxi Wenpin Youge Commerce and Trade Co., Ltd."
115,638174497,"Zimeishan (Zhaoan) Brand Name Operation Management Co., Ltd."
116,639643983,"Zikai Technology (Yunnan) Co., Ltd."
117,547802935,"Hangzhou Zijing Real Estate Development Co., Ltd."
118,547919777,"Zijin County Qinjiang Liquefied Petroleum Gas Co., Ltd."
119,547890024,Zijin Linjiang Town People Government
120,547891815,Zijin Haoyi Food Station
121,638002911,"Sichuan Shanji Construction Co., Ltd."
122,547851467,"Zigui County Zhixin Coal Industry Co., Ltd."
123,638005370,"Zigui County Chudeng Commerce And Trade Co., Ltd."
124,639573685,"Ziguang Huizhi Information Technology Co., Ltd. Hangzhou Branch"
125,547758486,"Beijing Ziguang Culture Co., Ltd."
